40,FEMALE,u-nit,?,*u-wai,umade,vuka,?,bùoˋi:,*konarumi,?,?,?,?,?,?,?,ù-dɔ̀nɔ̀bà-,?,ki-sihaŋ,vù-ká
40,FEMALE,1,?,2,3,4,?,5,6,?,?,?,?,?,?,?,7,?,8,4
41,FIREWOOD,a-ʧan-la,?,títí,?,?,cé cə̀ŋ hwèlá,?,*ma-ʧi,?,?,*jɛ:ɔ̃,?,**tihtíh,?,?,ú-cə̃̀,?,titie,mà-ɗángà
41,FIREWOOD,1,?,2,?,?,3,?,1,?,?,4,?,2,?,?,4,?,2,5
42,FOREST (BUSH),"a-ʧa (pl.), ku-liri",?,ò-ʤà,?,kàkàmbà,?,ì-kúrmì (H.),ka-jiri,?,?,*o:-ri:aba,?,**n-dareh,?,?,?,?,karimi (H.),?
42,FOREST (BUSH),1,?,1,?,2,?,2,2,?,?,3,?,4,?,?,?,?,3,?
43,CHICKEN/FOWL,*ko-koro,kɔr (?),bì-tókóró,?,mòtòkù,kə́cì,*i-janḿa,kuru,ù-kjît,bi-tukoro,woa:roma,?,bə-tóórò,kuru?  kura,o-kur,hí-tálkɔ̀í-,-tokoro,-kukuru,mò-tòkù
43,CHICKEN/FOWL,1,1,1,?,1,2,3,1,2,1,4,?,1,1,1,5,1,1,1
44,"FRY, TO BAKE IN ASHES, TO","**lawa, u-ʤuʤu",?,?,?,?,?,wátə̀gà,*raga,?,?,?,?,"**njaga, pavah",?,?,?,?,"toja (H.), murwuru+an+tee",?
44,"FRY, TO BAKE IN ASHES, TO",1,?,?,?,?,?,2,3,?,?,?,?,4,?,?,?,?,5,?
45,"GIVE, TO",u-ni,ni,"njaka, ʃe-me",?,?,"nésè, nɛ́",pálá,*dakar,já:s,?,ma: pu:a,?,*nɪ- ~ nʌ- (?)  **paseh,daka,n-(?),pɛ́nɛ̀,-nje-,"goo (?), parem",nèkè
45,"GIVE, TO",1,1,2,?,?,1,3,2,4,?,3,?,1,2,1,3,1,6,1
46,"GO, WALK, TO",u-du,da; dize,*wan,?,bàná,nòkà tə́,híǹdọ̀,"bur; *dura, *wuʤina",nékɛ́,?,mi gu:o,?,"maze; tainja; vuri; jaze, *dorra",bir (?); gjara-?; pɪsa,darak (?),nò,?,"ʤaravu, u-ʤaru",bànà
46,"GO, WALK, TO",1,1,2,?,2,3,4,1,3,?,5,?,6,7,1,3,?,9,2
47,GRASSHOPPER,kuʧin,?,bi-njun,?,?,émà,?,*diti,?,?,?,?,**urwata,?,?,?,?,ku-ʧinʧiŋ,kà-kjṹʔũ̀
47,GRASSHOPPER,1,?,2,?,?,3,?,4,?,?,?,?,5,?,?,?,?,1,1
48,"GROW, BECOME STRONG, TO","akara, u-kunʤu",?,"*bare, *agata",?,?,gùbù,?,"*kuna, *tukuna",?,?,?,?,"**hara+nkor, **gasa+nkor",?,?,?,?,usisazu,gbòngùrò
48,"GROW, BECOME STRONG, TO",1,?,1,?,?,2,?,1,?,?,?,?,3,?,?,?,?,3,2
49,GUINEA-FOWL,**ku-det,?,bì-rój,?,?,rjògò,ì-làgù,pirobi,ù-kɔ̂t,?,i-rjɛgu,?,rwaba,?,?,hí-cɔ̀kcɔ́,?,ku-rovuo,kà-ɗàkù
49,GUINEA-FOWL,1,?,2,?,?,2,3,4,5,?,6,?,7,?,?,8,?,2,9
50,HEAD,li-ti,ʧi,rè-té,?,kàcí'ì,d-hí,bù-kwɛ̀ŋgjè,ni-ʧe,ər-hí,lɪ-ʧe,e-to,u-kpai,ní- ʧíjé,lɪ-ʧi,lɪ-te (? rɪ-),rì-ʃìtə̀,i-te,ri-ti,kà-cí
50,HEAD,1,1,1,?,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1
